asofdate,cusip,spread,Cpr1,Cpr3,Cpr6,Cpr12,Cpr24,CprLife,SMM,DayCount,OBal,CBal,pbal,paydown,Prepay,factor,OCoupon,Coupon,OWac,Wac,Wam,Age,aols,waols,ONLoans,cnloans,PCNLoans,PPNLoans,OSato,CSato,oltv,cltv,%cltv_80,%cltv_105,%cltv_125,%ccltv_80,%ccltv_105,%ccltv_125,fico,%FedHold,%CMOHold,dti,codti,%CashWindow,%Majors,ocltv,ccltv,PurpPct_purchase,PurpPct_refi,PctChannel_Broker,PctChannel_Corr,PctChannel_Retail,OccPct_investor,OccPct_owner,PropUnitsPct_2-4,StatePct_AK,StatePct_AL,StatePct_AR,StatePct_AZ,StatePct_CA,StatePct_CO,StatePct_CT,StatePct_DC,StatePct_DE,StatePct_FL,StatePct_GA,StatePct_GU,StatePct_HI,StatePct_IA,StatePct_ID,StatePct_IL,StatePct_IN,StatePct_KS,StatePct_KY,StatePct_LA,StatePct_MA,StatePct_MD,StatePct_ME,StatePct_MI,StatePct_MN,StatePct_MO,StatePct_MS,StatePct_MT,StatePct_NC,StatePct_ND,StatePct_NE,StatePct_NH,StatePct_NJ,StatePct_NM,StatePct_NV,StatePct_NY,StatePct_OH,StatePct_OK,StatePct_OR,StatePct_PA,StatePct_PR,StatePct_RI,StatePct_SC,StatePct_SD,StatePct_TN,StatePct_TX,StatePct_UT,StatePct_VA,StatePct_VI,StatePct_VT,StatePct_WA,StatePct_WI,StatePct_WV,StatePct_WY,poolno,SellerPct_AMRHT,SellerPct_ALS,SellerPct_CAFULL,SellerPct_CNTL,SellerPct_CITIZ,SellerPct_53,SellerPct_FIR,SellerPct_FRDOM,SellerPct_GUILD,SellerPct_CHASE,SellerPct_LLSL,SellerPct_MATRX,SellerPct_NCM,SellerPct_NATIONST,SellerPct_NRESM,SellerPct_PNYMAC,SellerPct_PILOSI,SellerPct_QUICK,SellerPct_REG,SellerPct_RMSC,SellerPct_UNSHFI,SellerPct_WFHM,Seasonality
2019-08-01,3140JV6W7,27.3,6.0298,,,,,5.3756,0.5169,22.0,501353947.0,495322983.44,498619284.83,3296301.39,2573796.6093,98.79706469999999,3.0,3.0,4.0489999999999995,4.0489999999999995,356.0,3.0,324998.0,324998.0,1547.0,1537.0,1543.0,6.0,-2.0,-2.0,77.0,75.5967,0.0,0.0,0.0,0.0,0.0,0.0,765.0,,0.0,34.0,34.0,0.0,0.0,77.0,75.5967,77.06,22.94,0.0,65.93,34.07,0.15,93.41,0.12,0.35,0.93,0.86,1.93,10.24,3.99,1.08,0.71,0.43,5.53,3.53,0.0,0.33,0.54,0.96,4.76,0.61,1.01,0.66,0.37,3.52,2.59,0.25,1.43,2.8,2.71,0.7,0.56,5.54,0.24,0.61,0.76,4.96,0.32,1.33,0.0,2.31,0.6,0.79,5.99,0.0,0.15,1.09,0.15,2.18,9.27,1.93,4.42,0.0,0.0,2.11,1.45,0.11,0.28,BO1784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,8
2019-09-01,3140JV6W7,36.6,8.5726,6.4535,,,,6.4535,0.7441,20.0,501353947.0,490921475.22,495322983.44,4401508.22,3680312.5218,97.9191403,3.0,3.0,4.0489999999999995,4.0489999999999995,355.0,4.0,324937.0,324937.0,1547.0,1529.0,1537.0,8.0,-2.0,-2.0,77.0,75.0885,0.0,0.0,0.0,0.0,0.0,0.0,765.0,,0.0,34.0,34.0,0.0,0.0,77.0,75.0885,77.03,22.97,0.0,65.94,34.06,0.15,93.42,0.12,0.35,0.93,0.87,1.95,10.27,4.01,1.08,0.72,0.43,5.47,3.55,0.0,0.33,0.55,0.97,4.74,0.61,1.02,0.67,0.38,3.5,2.59,0.25,1.44,2.82,2.7,0.7,0.56,5.56,0.24,0.61,0.75,5.0,0.32,1.34,0.0,2.29,0.6,0.79,5.94,0.0,0.15,1.09,0.15,2.19,9.33,1.95,4.41,0.0,0.0,2.06,1.36,0.11,0.27,BO1784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,9
2019-10-01,3140JV6W7,43.9,11.3868,8.6893,,,,7.7042,1.0024,22.0,501353947.0,485289649.79,490921475.22,5631825.43,4913577.383,96.7958171,3.0,3.0,4.0489999999999995,4.0489999999999995,353.0,5.0,324926.0,324926.0,1547.0,1520.0,1529.0,9.0,-2.0,-2.0,77.0,74.569,0.0,0.0,0.0,0.0,0.0,0.0,764.0,,0.0,34.0,34.0,0.0,0.0,77.0,74.569,77.02,22.97,0.0,65.73,34.27,0.15,93.48,0.13,0.35,0.94,0.88,1.93,10.37,4.05,1.09,0.73,0.43,5.46,3.51,0.0,0.33,0.55,0.92,4.79,0.62,1.03,0.67,0.38,3.52,2.54,0.26,1.45,2.85,2.66,0.61,0.57,5.61,0.24,0.62,0.75,5.05,0.32,1.36,0.0,2.25,0.61,0.78,6.0,0.0,0.15,1.1,0.15,2.15,9.24,1.96,4.38,0.0,0.0,2.08,1.38,0.11,0.18,BO1784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,10
2019-11-01,3140JV6W7,40.3,4.8668,8.3168,,,,7.1514,0.4149,19.0,501353947.0,482562231.56,485289649.79,2727418.23,2010510.3602,96.2518066,3.0,3.0,4.0489999999999995,4.0489999999999995,353.0,6.0,324788.0,324788.0,1547.0,1515.0,1520.0,5.0,-2.0,-2.0,77.0,74.4678,0.0,0.0,0.0,0.0,0.0,0.0,764.0,,0.0,34.0,34.0,0.0,0.0,77.0,74.4678,76.93,23.06,0.0,65.74,34.26,0.15,93.52,0.13,0.35,0.95,0.88,1.89,10.42,3.98,1.09,0.73,0.44,5.48,3.53,0.0,0.33,0.56,0.92,4.8,0.62,1.04,0.68,0.38,3.53,2.54,0.26,1.46,2.79,2.67,0.61,0.57,5.63,0.25,0.62,0.76,5.07,0.32,1.36,0.0,2.18,0.6,0.78,6.02,0.0,0.15,1.11,0.15,2.16,9.19,1.97,4.41,0.0,0.0,2.09,1.38,0.11,0.18,BO1784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,11
2019-12-01,3140JV6W7,35.8,14.8816,10.4761,8.4789,,,8.4789,1.3338,21.0,501353947.0,475422688.47,482562231.56,7139543.09,6426666.991,94.82775409999999,3.0,3.0,4.0489999999999995,4.048,351.0,7.0,324323.0,324323.0,1547.0,1499.0,1515.0,16.0,-2.0,-2.0,77.0,73.9702,0.0,0.0,0.0,0.0,0.0,0.0,764.0,,0.0,34.0,34.0,0.0,0.0,77.0,73.9702,77.37,22.62,0.0,65.48,34.52,0.16,93.58,0.13,0.36,0.96,0.89,1.85,10.31,4.04,1.11,0.74,0.44,5.56,3.54,0.0,0.34,0.56,0.93,4.79,0.63,1.05,0.69,0.38,3.42,2.58,0.26,1.48,2.76,2.59,0.62,0.59,5.7,0.25,0.63,0.77,5.04,0.33,1.32,0.0,2.21,0.61,0.79,6.1,0.0,0.15,1.12,0.15,2.19,9.22,2.0,4.47,0.0,0.0,1.97,1.23,0.11,0.18,BO1784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,12
2019-07-01,3140QBMW5,50.0,0.3927,,,,,0.3927,0.0328,22.0,220761044.0,220393287.18,0.0,367756.82,72278.0493,99.833414,4.0,4.0,4.438,4.438,358.0,1.0,99206.0,99206.0,2228.0,2228.0,0.0,,63.0,63.0,72.0,71.556,0.0,0.0,0.0,0.0,0.0,0.0,744.0,,0.0,34.0,34.0,100.0,0.0,73.0,72.5498,70.21,29.79,7.87,30.32,61.81,5.48,87.77,0.85,0.0,1.5,1.11,3.39,3.3,1.44,0.94,0.0,0.28,8.13,3.47,0.0,0.09,1.63,0.85,5.63,4.73,1.2,1.72,0.77,0.71,1.13,0.37,7.24,2.52,4.15,0.73,0.41,3.52,0.14,2.04,0.22,1.43,1.09,0.73,0.19,5.56,1.85,0.56,4.61,0.3,0.18,2.11,0.24,2.42,6.66,0.73,1.62,0.0,0.22,1.36,4.18,0.5,0.09,CA3972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,7
2019-08-01,3140QBMW5,66.1,7.9962,,,,,4.2699,0.6921,22.0,220761044.0,218573529.34,220393287.18,1819757.84,1523283.3466,99.00910290000002,4.0,4.0,4.438,4.438,357.0,2.0,99192.0,99192.0,2228.0,2216.0,2228.0,12.0,63.0,63.0,72.0,71.2087,0.0,0.0,0.0,0.0,0.0,0.0,744.0,,0.0,34.0,34.0,100.0,0.0,73.0,72.1977,70.2,29.8,7.9,30.29,61.81,5.52,87.78,0.85,0.0,1.51,1.12,3.37,3.17,1.45,0.95,0.0,0.28,8.16,3.49,0.0,0.05,1.59,0.81,5.62,4.76,1.2,1.73,0.77,0.72,1.09,0.37,7.28,2.54,4.18,0.74,0.42,3.54,0.14,2.0,0.22,1.44,1.1,0.73,0.2,5.55,1.86,0.56,4.63,0.3,0.18,2.12,0.24,2.44,6.61,0.73,1.63,0.0,0.22,1.35,4.21,0.5,0.09,CA3972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,8
2019-09-01,3140QBMW5,75.4,4.9141,4.4849,,,,4.4849,0.419,20.0,220761044.0,217363354.08,218573529.34,1210175.26,914664.0545,98.4609196,4.0,4.0,4.438,4.437,356.0,3.0,99182.0,99182.0,2228.0,2208.0,2216.0,8.0,63.0,63.0,72.0,70.7081,0.0,0.0,0.0,0.0,0.0,0.0,744.0,,9.09,34.0,34.0,100.0,0.0,73.0,71.6901,70.18,29.81,7.93,30.35,61.72,5.5,87.78,0.86,0.0,1.47,1.12,3.34,3.18,1.45,0.95,0.0,0.28,8.14,3.5,0.0,0.05,1.59,0.81,5.64,4.78,1.21,1.74,0.77,0.72,1.1,0.38,7.31,2.5,4.19,0.74,0.42,3.52,0.14,2.02,0.22,1.45,1.1,0.73,0.2,5.57,1.86,0.56,4.61,0.3,0.18,2.13,0.19,2.45,6.63,0.74,1.64,0.0,0.22,1.31,4.23,0.5,0.09,CA3972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9
2019-10-01,3140QBMW5,82.7,3.1647,5.3796,,,,4.1487,0.2676,22.0,220761044.0,216487001.99,217363354.08,876352.09,580938.7814,98.06395090000001,4.0,4.0,4.438,4.437,354.0,4.0,99185.0,99185.0,2228.0,2203.0,2208.0,5.0,63.0,63.0,72.0,70.2174,0.0,0.0,0.0,0.0,0.0,0.0,744.0,,9.09,34.0,34.0,100.0,0.0,73.0,71.1926,70.11,29.89,7.9,30.33,61.77,5.51,87.75,0.86,0.0,1.47,1.12,3.35,3.18,1.46,0.96,0.0,0.28,8.11,3.51,0.0,0.05,1.6,0.77,5.65,4.79,1.21,1.75,0.77,0.72,1.1,0.38,7.33,2.41,4.2,0.74,0.42,3.52,0.14,2.02,0.22,1.45,1.11,0.74,0.2,5.58,1.87,0.56,4.62,0.3,0.18,2.13,0.19,2.46,6.64,0.74,1.64,0.0,0.22,1.31,4.2,0.5,0.09,CA3972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,10
2019-11-01,3140QBMW5,79.1,4.3859,4.1606,,,,4.1962,0.3731,19.0,220761044.0,215383281.35,216487001.99,1103720.64,806508.3798,97.56398929999999,4.0,4.0,4.438,4.437,353.0,5.0,99192.0,99192.0,2228.0,2196.0,2203.0,7.0,63.0,63.0,72.0,70.0242,0.0,0.0,0.0,0.0,0.0,0.0,743.0,,9.09,34.0,34.0,100.0,0.0,73.0,70.9967,70.29,29.71,7.93,30.33,61.74,5.53,87.79,0.86,0.0,1.47,1.12,3.36,3.19,1.46,0.96,0.0,0.28,8.13,3.52,0.0,0.05,1.56,0.73,5.67,4.8,1.21,1.75,0.78,0.73,1.1,0.38,7.35,2.42,4.18,0.75,0.42,3.49,0.14,1.98,0.22,1.46,1.11,0.74,0.2,5.56,1.88,0.56,4.63,0.3,0.18,2.14,0.19,2.46,6.66,0.73,1.6,0.0,0.22,1.32,4.21,0.51,0.09,CA3972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,11
